t,lx,ly,rx,ry,px,py,pz,qx,qy,qz,qw
1.209000,-0.023738,0.009343,-0.033916,0.029306,-0.006455,-0.006160,0.007155,-0.024602,0.011971,-0.011889,-0.999555
1.217000,-0.023715,0.009065,-0.033897,0.029176,-0.006473,-0.006145,0.007138,-0.024543,0.011996,-0.011929,-0.999556
1.225000,-0.023592,0.008782,-0.033811,0.028936,-0.006492,-0.006127,0.007115,-0.024468,0.012035,-0.011962,-0.999557
1.234000,-0.023433,0.008529,-0.033768,0.028899,-0.006512,-0.006128,0.007116,-0.024473,0.012083,-0.011990,-0.999556
1.242000,-0.023307,0.008485,-0.033650,0.028790,-0.006549,-0.006129,0.007115,-0.024469,0.012117,-0.012086,-0.999554
1.250000,-0.023015,0.008156,-0.033577,0.028800,-0.006597,-0.006135,0.007120,-0.024490,0.012148,-0.012222,-0.999552
1.259000,-0.022454,0.005813,-0.033518,0.028592,-0.006648,-0.006147,0.007130,-0.024529,0.012169,-0.012378,-0.999548
1.267000,-0.022454,0.005813,-0.033518,0.028592,-0.006712,-0.006151,0.007132,-0.024538,0.012180,-0.012586,-0.999545
1.275000,-0.022173,0.004140,-0.033480,0.028585,-0.006755,-0.006160,0.007139,-0.024566,0.012179,-0.012736,-0.999543
1.284000,-0.022070,0.003698,-0.033465,0.028517,-0.006782,-0.006184,0.007165,-0.024656,0.012167,-0.012836,-0.999540
1.292000,-0.022019,0.003465,-0.033457,0.028529,-0.006797,-0.006189,0.007170,-0.024674,0.012138,-0.012912,-0.999538
1.300000,-0.022011,0.003131,-0.033484,0.028422,-0.006815,-0.006198,0.007180,-0.024706,0.012100,-0.013004,-0.999537
1.309000,-0.021957,0.002575,-0.033523,0.028349,-0.006814,-0.006199,0.007180,-0.024706,0.012044,-0.013048,-0.999537
1.317000,-0.021936,0.002183,-0.033582,0.028157,-0.006803,-0.006195,0.007177,-0.024693,0.011981,-0.013064,-0.999538
1.325000,-0.021518,0.000689,-0.033711,0.027815,-0.006779,-0.006189,0.007170,-0.024669,0.011928,-0.013026,-0.999540
